Формат магазина	Магазин	Группа	Номенклатура	Месяц	Кол проданного товара, шт	Сумма продаж, тыс.руб.	Себестоимость продаж, тыс.руб.	Остаток на конец дня среднедневной, шт	Себестоимость остатков на конец дня среднедневная, тыс.руб.
Гипер	Магазин 3	Молочные продукты	Молочные продукты 20	8	97	2,84477	2,19648	0	4,26326E-17
Гипер	Магазин 3	Молочные продукты	Молочные продукты 20	9	58	1,73343	1,42912	4	0,09856
Гипер	Магазин 3	Молочные продукты	Молочные продукты 23	7	8	0,32892	0,31064	0	0
Гипер	Магазин 3	Молочные продукты	Молочные продукты 24	7	10	0,67091	0,52381	5	0,2657
Гипер	Магазин 3	Молочные продукты	Молочные продукты 24	8	9	0,55491	0,44638	8	0,40918
Гипер	Магазин 3	Молочные продукты	Молочные продукты 24	9	10	0,62147	0,49952	4	0,18068
Гипер	Магазин 3	Молочные продукты	Молочные продукты 25	7	12	0,49888	0,46596	0	0
Гипер	Магазин 3	Молочные продукты	Молочные продукты 26	7	68	3,34232	2,42269	7	0,24201
Гипер	Магазин 3	Молочные продукты	Молочные продукты 26	8	40	1,83361	1,40468	12	0,38927
Гипер	Магазин 3	Молочные продукты	Молочные продукты 26	9	53	2,40451	1,77049	7	0,22707
Гипер	Магазин 3	Молочные продукты	Молочные продукты 27	7	7	0,31268	0,26456	4	0,15118
Гипер	Магазин 3	Молочные продукты	Молочные продукты 27	8	8	0,38192	0,30698	4	0,1558
Гипер	Магазин 3	Молочные продукты	Молочные продукты 27	9	5	0,24495	0,19475	3	0,11685
Гипер	Магазин 3	Молочные продукты	Молочные продукты 28	7	10	0,5699	0,41052	2	0,08211
Гипер	Магазин 3	Молочные продукты	Молочные продукты 28	8	10	0,50735	0,42355	4	0,17072
Гипер	Магазин 3	Молочные продукты	Молочные продукты 28	9	7	0,35995	0,29876	4	0,17072
Гипер	Магазин 3	Молочные продукты	Молочные продукты 29	7	47	2,27702	1,78707	17	0,65259
Гипер	Магазин 3	Молочные продукты	Молочные продукты 29	8	59	2,74033	2,01505	14	0,45415
Гипер	Магазин 3	Молочные продукты	Молочные продукты 29	9	70	3,13944	2,31341	12	0,47119
Гипер	Магазин 3	Молочные продукты	Молочные продукты 30	7	32	1,55168	1,20618	14	0,48403
Гипер	Магазин 3	Молочные продукты	Молочные продукты 30	8	41	1,87659	1,35988	9	0,29196
Гипер	Магазин 3	Молочные продукты	Молочные продукты 30	9	58	2,66087	1,91561	7	0,26804
Гипер	Магазин 3	Молочные продукты	Молочные продукты 31	7	165	2,28766	1,53429	13	0,13884
Гипер	Магазин 3	Молочные продукты	Молочные продукты 31	8	110	1,70324	1,1748	10	0,1068
Гипер	Магазин 3	Молочные продукты	Молочные продукты 31	9	180	2,60884	1,6668	9	0,07695
Гипер	Магазин 3	Молочные продукты	Молочные продукты 32	7	221	2,95304	2,0706	8	0,08544
Гипер	Магазин 3	Молочные продукты	Молочные продукты 32	8	180	2,77019	1,9224	9	0,09612
Гипер	Магазин 3	Молочные продукты	Молочные продукты 32	9	232	3,49086	2,21577	7	0,05985
Гипер	Магазин 3	Молочные продукты	Молочные продукты 33	7	185	2,44356	1,75002	1	0,01068
Гипер	Магазин 3	Молочные продукты	Молочные продукты 33	8	138	2,14608	1,47384	23	0,24564
Гипер	Магазин 3	Молочные продукты	Молочные продукты 33	9	191	2,81534	1,74594	19	0,16245
Гипер	Магазин 3	Молочные продукты	Молочные продукты 34	7	69	1,69491	1,13229	5	0,08205
Гипер	Магазин 3	Молочные продукты	Молочные продукты 34	8	86	2,04914	1,41126	16	0,26256
Гипер	Магазин 3	Молочные продукты	Молочные продукты 34	9	43	1,08357	0,66053	13	0,16003
Гипер	Магазин 3	Молочные продукты	Молочные продукты 35	7	43	1,04157	0,70563	5	0,08205
Гипер	Магазин 3	Молочные продукты	Молочные продукты 35	8	48	1,13207	0,78768	10	0,1641
Гипер	Магазин 3	Молочные продукты	Молочные продукты 35	9	60	1,39416	0,8124	6	0,07386
Гипер	Магазин 3	Молочные продукты	Молочные продукты 36	7	37	0,92437	0,64824	3	0,05256
Гипер	Магазин 3	Молочные продукты	Молочные продукты 36	8	24	0,60548	0,42048	2	0,03504
Гипер	Магазин 3	Молочные продукты	Молочные продукты 36	9	17	0,44196	0,29784	2	0,03504
Гипер	Магазин 3	Молочные продукты	Молочные продукты 37	7	9	0,67191	0,53991	6	0,35994
Гипер	Магазин 3	Молочные продукты	Молочные продукты 37	8	9	0,56646	0,53991	3	0,17997
Гипер	Магазин 3	Молочные продукты	Молочные продукты 37	9	10	0,79679	0,5999	5	0,29995
Гипер	Магазин 3	Молочные продукты	Молочные продукты 38	7	5	0,28195	0,29995	5	0,29995
Гипер	Магазин 3	Молочные продукты	Молочные продукты 38	8	12	0,72345	0,71988	5	0,29995
Гипер	Магазин 3	Молочные продукты	Молочные продукты 38	9	10	0,7959	0,5999	7	0,41993
Гипер	Магазин 3	Молочные продукты	Молочные продукты 39	7	26	1,18374	0,82686	4	0,15312
Гипер	Магазин 3	Молочные продукты	Молочные продукты 39	8	24	1,12546	0,91872	4	0,15312
Гипер	Магазин 3	Молочные продукты	Молочные продукты 39	9	47	2,22851	1,79916	9	0,34452
Гипер	Магазин 3	Молочные продукты	Молочные продукты 40	7	16	0,73984	0,49	2	0,06125
Гипер	Магазин 3	Молочные продукты	Молочные продукты 40	8	11	0,51591	0,40577	3	0,11484
Гипер	Магазин 3	Молочные продукты	Молочные продукты 40	9	14	0,67886	0,53592	3	0,11484
Гипер	Магазин 3	Молочные продукты	Молочные продукты 41	7	10	0,4519	0,35218	2	0,07656
Гипер	Магазин 3	Молочные продукты	Молочные продукты 41	8	11	0,51989	0,42108	3	0,11484
Гипер	Магазин 3	Молочные продукты	Молочные продукты 41	9	10	0,4789	0,3828	5	0,1914
Гипер	Магазин 3	Молочные продукты	Молочные продукты 42	7	35	1,61645	1,07947	5	0,19142
Гипер	Магазин 3	Молочные продукты	Молочные продукты 42	8	18	0,84242	0,68904	3	0,11484
Гипер	Магазин 3	Молочные продукты	Молочные продукты 42	9	27	1,25593	1,03356	2	0,07656
Гипер	Магазин 3	Молочные продукты	Молочные продукты 43	7	24	1,0278	0,63888	7	0,18634
Гипер	Магазин 3	Молочные продукты	Молочные продукты 43	8	44	1,88978	1,1264	23	0,55154
Гипер	Магазин 3	Молочные продукты	Молочные продукты 43	9	23	0,98877	0,55418	19	0,50578
Гипер	Магазин 3	Молочные продукты	Молочные продукты 44	7	31	1,31969	0,78298	4	0,09592
Гипер	Магазин 3	Молочные продукты	Молочные продукты 44	8	22	0,93876	0,52756	2	0,04796
Гипер	Магазин 3	Молочные продукты	Молочные продукты 44	9	24	1,05186	0,6336	19	0,50578
Гипер	Магазин 3	Молочные продукты	Молочные продукты 45	7	35	1,68915	1,1886	7	0,23772
Гипер	Магазин 3	Молочные продукты	Молочные продукты 45	8	107	5,17664	3,63372	2	0,06792
Гипер	Магазин 3	Молочные продукты	Молочные продукты 45	9	138	6,52877	3,99968	8	0,28528
Гипер	Магазин 3	Молочные продукты	Молочные продукты 46	7	64	1,15936	0,80768	3	0,03786
Гипер	Магазин 3	Молочные продукты	Молочные продукты 46	8	57	1,04076	0,71934	5	0,0631
Гипер	Магазин 3	Молочные продукты	Молочные продукты 46	9	40	0,7309	0,5048	1	0,01262
Гипер	Магазин 3	Молочные продукты	Молочные продукты 47	7	38	0,69579	0,47956	5	0,0631
Гипер	Магазин 3	Молочные продукты	Молочные продукты 47	8	41	0,73582	0,51742	11	0,13882
Гипер	Магазин 3	Молочные продукты	Молочные продукты 47	9	32	0,5831	0,40384	3	0,03786
Гипер	Магазин 3	Молочные продукты	Молочные продукты 48	7	6	0,42294	0,29796	3	0,14898
Гипер	Магазин 3	Молочные продукты	Молочные продукты 48	8	15	1,14784	0,82374	0	-8,52651E-17
Гипер	Магазин 3	Молочные продукты	Молочные продукты 48	9	12	0,92388	0,67476	0	0
Гипер	Магазин 3	Молочные продукты	Молочные продукты 49	7	45	1,5569	1,11626	7	0,16987
Гипер	Магазин 3	Молочные продукты	Молочные продукты 49	8	33	1,14868	0,84934	6	0,16988
Гипер	Магазин 3	Молочные продукты	Молочные продукты 49	9	37	1,39463	0,9889	13	0,39439
Гипер	Магазин 3	Молочные продукты	Молочные продукты 50	7	64	2,21637	1,67446	17	0,48539
Гипер	Магазин 3	Молочные продукты	Молочные продукты 50	8	63	2,14869	1,65018	9	0,26696
Гипер	Магазин 3	Молочные продукты	Молочные продукты 50	9	43	1,56256	1,09201	9	0,24267
Гипер	Магазин 3	Молочные продукты	Молочные продукты 51	7	108	2,90781	2,26677	9	0,22819
Гипер	Магазин 3	Молочные продукты	Молочные продукты 51	8	105	3,04998	2,2414	3	0,07606
Гипер	Магазин 3	Молочные продукты	Молочные продукты 51	9	105	3,11355	2,27181	13	0,32961
Гипер	Магазин 3	Молочные продукты	Молочные продукты 52	7	29	1,00972	0,7037	10	0,29123
Гипер	Магазин 3	Молочные продукты	Молочные продукты 52	8	47	1,66555	1,2194	3	0,09101
Гипер	Магазин 3	Молочные продукты	Молочные продукты 52	9	35	1,25875	0,89181	7	0,19414
Гипер	Магазин 3	Молочные продукты	Молочные продукты 53	7	52	1,81615	1,35897	6	0,14559
Гипер	Магазин 3	Молочные продукты	Молочные продукты 53	8	49	1,71531	1,18902	5	0,14561
Гипер	Магазин 3	Молочные продукты	Молочные продукты 53	9	29	1,06971	0,75227	4	0,09706
Гипер	Магазин 3	Молочные продукты	Молочные продукты 54	7	131	1,56834	1,07813	2	0,01646
Гипер	Магазин 3	Молочные продукты	Молочные продукты 54	8	140	1,81504	1,1522	10	0,0823
Гипер	Магазин 3	Молочные продукты	Молочные продукты 54	9	169	2,09264	1,22482	33	0,231
Гипер	Магазин 3	Молочные продукты	Молочные продукты 55	7	132	1,58702	1,08636	12	0,09876
Гипер	Магазин 3	Молочные продукты	Молочные продукты 55	8	58	0,75212	0,47488	24	0,19752
Гипер	Магазин 3	Молочные продукты	Молочные продукты 55	9	122	1,52534	0,88352	29	0,203
Гипер	Магазин 3	Молочные продукты	Молочные продукты 56	7	75	0,91225	0,61725	0	0
Гипер	Магазин 3	Молочные продукты	Молочные продукты 56	8	105	1,37062	0,86415	15	0,12345
Гипер	Магазин 3	Молочные продукты	Молочные продукты 56	9	116	1,45566	0,85997	16	0,112
Гипер	Магазин 3	Молочные продукты	Молочные продукты 57	7	40	0,52397	0,4188	28	0,29316
Гипер	Магазин 3	Молочные продукты	Молочные продукты 57	8	471	4,38062	3,77071	81	0,63585
Гипер	Магазин 3	Молочные продукты	Молочные продукты 57	9	41	0,65839	0,32185	35	0,27475
Гипер	Магазин 3	Молочные продукты	Молочные продукты 58	7	109	4,89291	3,73984	14	0,44367
Гипер	Магазин 3	Молочные продукты	Молочные продукты 58	8	85	3,81785	2,8603	5	0,15845
Гипер	Магазин 3	Молочные продукты	Молочные продукты 58	9	66	3,06489	2,40886	8	0,25988
Гипер	Магазин 3	Молочные продукты	Молочные продукты 59	7	58	2,84244	2,29808	6	0,23773
Гипер	Магазин 3	Молочные продукты	Молочные продукты 59	8	47	2,20053	1,76707	12	0,38029
Гипер	Магазин 3	Молочные продукты	Молочные продукты 59	9	44	2,0246	1,58474	13	0,45799
Гипер	Магазин 3	Молочные продукты	Молочные продукты 60	7	27	1,18683	0,95082	21	0,66552
Гипер	Магазин 3	Молочные продукты	Молочные продукты 60	8	33	1,45967	1,04581	5	0,15845
Гипер	Магазин 3	Молочные продукты	Молочные продукты 60	9	29	1,32377	0,99041	12	0,38983
Гипер	Магазин 3	Молочные продукты	Молочные продукты 61	7	25	1,11748	0,87159	9	0,28522
Гипер	Магазин 3	Молочные продукты	Молочные продукты 61	8	40	1,75763	1,26765	2	0,06338
Гипер	Магазин 3	Молочные продукты	Молочные продукты 61	9	41	1,92459	1,44209	12	0,36128
Гипер	Магазин 3	Молочные продукты	Молочные продукты 62	7	97	4,36479	3,39918	7	0,22184
Гипер	Магазин 3	Молочные продукты	Молочные продукты 62	8	64	2,88936	2,09962	8	0,25352
Гипер	Магазин 3	Молочные продукты	Молочные продукты 62	9	76	3,55238	2,7654	19	0,58154
Гипер	Магазин 3	Молочные продукты	Молочные продукты 63	7	87	1,90923	1,48461	17	0,25451
Гипер	Магазин 3	Молочные продукты	Молочные продукты 63	8	147	3,15051	2,26143	13	0,19462
Гипер	Магазин 3	Молочные продукты	Молочные продукты 63	9	115	2,44448	1,75332	10	0,14971
Гипер	Магазин 3	Молочные продукты	Молочные продукты 64	7	71	1,55658	1,23453	10	0,14971
Гипер	Магазин 3	Молочные продукты	Молочные продукты 64	8	131	2,79518	1,97173	11	0,16468
Гипер	Магазин 3	Молочные продукты	Молочные продукты 64	9	94	1,97316	1,43629	8	0,11977
Гипер	Магазин 3	Молочные продукты	Молочные продукты 65	7	102	2,26458	1,76727	13	0,19462
Гипер	Магазин 3	Молочные продукты	Молочные продукты 65	8	103	2,19597	1,57366	6	0,08982
Гипер	Магазин 3	Молочные продукты	Молочные продукты 65	9	115	2,48473	1,81668	7	0,1048
Гипер	Магазин 3	Молочные продукты	Молочные продукты 66	7	27	1,08573	0,87347	8	0,25881
Гипер	Магазин 3	Молочные продукты	Молочные продукты 66	8	40	1,64062	1,33065	4	0,13398
Гипер	Магазин 3	Молочные продукты	Молочные продукты 66	9	30	1,33072	1,00485	0	-1,13687E-16
Гипер	Магазин 3	Молочные продукты	Молочные продукты 67	7	15	0,61786	0,50671	4	0,13512
Гипер	Магазин 3	Молочные продукты	Молочные продукты 67	8	17	0,72583	0,58915	3	0,10477
Гипер	Магазин 3	Молочные продукты	Молочные продукты 67	9	18	0,84282	0,62865	5	0,17462
Гипер	Магазин 3	Молочные продукты	Молочные продукты 68	7	70	2,0293	1,65528	13	0,34372
Гипер	Магазин 3	Молочные продукты	Молочные продукты 68	8	85	2,40874	1,98314	2	0,05288
Гипер	Магазин 3	Молочные продукты	Молочные продукты 68	9	44	1,37356	1,16351	8	0,21157
Гипер	Магазин 3	Молочные продукты	Молочные продукты 69	7	85	1,01735	0,79305	2	0,01866
Гипер	Магазин 3	Молочные продукты	Молочные продукты 69	8	64	0,77536	0,59712	10	0,0933
Гипер	Магазин 3	Молочные продукты	Молочные продукты 69	9	52	0,6226	0,48516	32	0,29856
Гипер	Магазин 3	Молочные продукты	Молочные продукты 71	7	85	1,18807	0,924	15	0,165
Гипер	Магазин 3	Молочные продукты	Молочные продукты 71	8	67	0,92453	0,72685	19	0,17043
Гипер	Магазин 3	Молочные продукты	Молочные продукты 71	9	55	0,75443	0,49335	8	0,07176
Гипер	Магазин 3	Молочные продукты	Молочные продукты 72	7	9	0,39491	0,28999	7	0,25221
Гипер	Магазин 3	Молочные продукты	Молочные продукты 72	8	11	0,51489	0,36749	8	0,23056
Гипер	Магазин 3	Молочные продукты	Молочные продукты 72	9	0	0	0	8	0,23056
Гипер	Магазин 3	Молочные продукты	Молочные продукты 73	7	40	0,5656	0,363	12	0,132
Гипер	Магазин 3	Молочные продукты	Молочные продукты 73	8	38	0,51982	0,41394	22	0,19734
Гипер	Магазин 3	Молочные продукты	Молочные продукты 73	9	36	0,49109	0,32292	8	0,07176
Гипер	Магазин 3	Молочные продукты	Молочные продукты 74	7	46	2,02855	1,50867	5	0,15394
Гипер	Магазин 3	Молочные продукты	Молочные продукты 74	8	46	2,09858	1,69433	4	0,13468
Гипер	Магазин 3	Молочные продукты	Молочные продукты 74	9	45	2,03758	1,48675	7	0,21839
Гипер	Магазин 3	Молочные продукты	Молочные продукты 75	7	9	0,45891	0,27711	0	0
Гипер	Магазин 3	Молочные продукты	Молочные продукты 76	7	38	4,33551	3,42894	3	0,30891
Гипер	Магазин 3	Молочные продукты	Молочные продукты 76	8	36	4,21466	3,46473	0	-2,27374E-16
Гипер	Магазин 3	Молочные продукты	Молочные продукты 76	9	33	3,76252	2,93938	6	0,63624
Гипер	Магазин 3	Молочные продукты	Молочные продукты 77	7	47	2,12654	1,57025	10	0,30789
Гипер	Магазин 3	Молочные продукты	Молочные продукты 77	8	51	2,3795	1,92334	1	0,03367
Гипер	Магазин 3	Молочные продукты	Молочные продукты 77	9	75	3,31936	2,52904	1	0,02956
Гипер	Магазин 3	Молочные продукты	Молочные продукты 78	7	63	2,79241	2,09365	8	0,24631
Гипер	Магазин 3	Молочные продукты	Молочные продукты 78	8	55	2,4977	1,92714	4	0,13468
Гипер	Магазин 3	Молочные продукты	Молочные продукты 78	9	50	2,20456	1,69649	2	0,05911
Гипер	Магазин 3	Молочные продукты	Молочные продукты 79	7	42	1,9328	1,37525	12	0,36946
Гипер	Магазин 3	Молочные продукты	Молочные продукты 79	8	39	1,80262	1,38929	0	-1,13687E-16
Гипер	Магазин 3	Молочные продукты	Молочные продукты 79	9	36	1,63564	1,28959	6	0,17734
Гипер	Магазин 3	Молочные продукты	Молочные продукты 80	7	40	3,85449	3,02509	5	0,40184
Гипер	Магазин 3	Молочные продукты	Молочные продукты 80	8	30	2,89505	2,27847	2	0,14628
Гипер	Магазин 3	Молочные продукты	Молочные продукты 80	9	19	1,84881	1,44673	3	0,20873
Гипер	Магазин 3	Молочные продукты	Молочные продукты 81	7	9	0,41991	0,27711	0	0
Гипер	Магазин 3	Молочные продукты	Молочные продукты 82	7	24	2,6898	2,07697	8	0,73109
Гипер	Магазин 3	Молочные продукты	Молочные продукты 82	8	27	3,10973	2,40235	2	0,21208
Гипер	Магазин 3	Молочные продукты	Молочные продукты 82	9	18	1,99781	1,67542	5	0,41355
Гипер	Магазин 3	Молочные продукты	Молочные продукты 83	7	45	2,00762	1,47787	10	0,30789
Гипер	Магазин 3	Молочные продукты	Молочные продукты 83	8	27	1,23881	0,94673	1	0,03367
Гипер	Магазин 3	Молочные продукты	Молочные продукты 83	9	29	1,28072	0,9497	8	0,24674
Гипер	Магазин 3	Молочные продукты	Молочные продукты 85	7	12	0,69489	0,53712	5	0,23353
Гипер	Магазин 3	Молочные продукты	Молочные продукты 85	8	29	1,59871	1,30407	0	8,52651E-17
Гипер	Магазин 3	Молочные продукты	Молочные продукты 85	9	15	0,80885	0,5857	6	0,21575
Гипер	Магазин 3	Молочные продукты	Молочные продукты 86	7	7	0,40994	0,30359	4	0,18682
Гипер	Магазин 3	Молочные продукты	Молочные продукты 86	8	28	1,55569	1,28257	0	-1,13687E-16
Гипер	Магазин 3	Молочные продукты	Молочные продукты 86	9	16	0,81886	0,58941	8	0,28068
Гипер	Магазин 3	Молочные продукты	Молочные продукты 87	7	22	0,75207	0,38368	4	0,06976
Гипер	Магазин 3	Молочные продукты	Молочные продукты 87	8	5	0,17413	0,0872	6	0,15144
Гипер	Магазин 3	Молочные продукты	Молочные продукты 87	9	7	0,24493	0,17668	5	0,1262
Гипер	Магазин 3	Молочные продукты	Молочные продукты 88	7	11	0,37123	0,19184	8	0,13952
Гипер	Магазин 3	Молочные продукты	Молочные продукты 88	8	16	0,49284	0,29464	4	0,10096
Гипер	Магазин 3	Молочные продукты	Молочные продукты 88	9	2	0,06998	0,05048	8	0,20186
Гипер	Магазин 3	Молочные продукты	Молочные продукты 89	7	1	0,03399	0,0195	6	0,117
Гипер	Магазин 3	Молочные продукты	Молочные продукты 89	8	6	0,20444	0,117	0	0
Гипер	Магазин 3	Молочные продукты	Молочные продукты 89	9	6	0,20994	0,15144	6	0,15138
Гипер	Магазин 3	Молочные продукты	Молочные продукты 90	7	13	0,53695	0,39647	6	0,15186
Гипер	Магазин 3	Молочные продукты	Молочные продукты 90	8	14	0,53313	0,42178	3	0,10122
Гипер	Магазин 3	Молочные продукты	Молочные продукты 90	9	9	0,39632	0,2932	3	0,09076
Гипер	Магазин 3	Молочные продукты	Молочные продукты 91	7	12	0,50167	0,32901	4	0,10124
Гипер	Магазин 3	Молочные продукты	Молочные продукты 91	8	13	0,53417	0,37961	3	0,07593
Гипер	Магазин 3	Молочные продукты	Молочные продукты 91	9	4	0,16896	0,09921	5	0,1164
Гипер	Магазин 3	Молочные продукты	Молочные продукты 93	7	12	0,54948	0,38385	2	0,0608
Гипер	Магазин 3	Молочные продукты	Молочные продукты 93	8	8	0,37253	0,24323	3	0,0912
Гипер	Магазин 3	Молочные продукты	Молочные продукты 93	9	6	0,27797	0,18241	2	0,076
Гипер	Магазин 3	Молочные продукты	Молочные продукты 94	7	15	0,69649	0,47125	4	0,12162
Гипер	Магазин 3	Молочные продукты	Молочные продукты 94	8	9	0,40692	0,27364	4	0,1216
Гипер	Магазин 3	Молочные продукты	Молочные продукты 94	9	5	0,24395	0,16723	4	0,152
Гипер	Магазин 3	Молочные продукты	Молочные продукты 95	7	15	0,68385	0,44654	2	0,0608
Гипер	Магазин 3	Молочные продукты	Молочные продукты 95	8	7	0,32298	0,21282	2	0,0608
Гипер	Магазин 3	Молочные продукты	Молочные продукты 95	9	3	0,14697	0,09882	2	0,07601
Гипер	Магазин 3	Молочные продукты	Молочные продукты 96	7	7	0,33014	0,20522	3	0,09121
Гипер	Магазин 3	Молочные продукты	Молочные продукты 96	8	8	0,37292	0,24322	2	0,0608
Гипер	Магазин 3	Молочные продукты	Молочные продукты 96	9	3	0,15097	0,09882	2	0,07601
Гипер	Магазин 3	Молочные продукты	Молочные продукты 97	7	18	0,82443	0,58906	2	0,06081
Гипер	Магазин 3	Молочные продукты	Молочные продукты 97	8	11	0,50697	0,33443	3	0,09121
Гипер	Магазин 3	Молочные продукты	Молочные продукты 97	9	6	0,27894	0,19003	2	0,07601
Гипер	Магазин 3	Молочные продукты	Молочные продукты 98	7	26	1,01674	0,72828	7	0,22907
Гипер	Магазин 3	Молочные продукты	Молочные продукты 98	8	18	0,71982	0,54002	4	0,13091
Гипер	Магазин 3	Молочные продукты	Молочные продукты 98	9	36	1,38064	0,98944	4	0,125
Гипер	Магазин 3	Молочные продукты	Молочные продукты 100	7	19	0,70451	0,54822	6	0,19635
Гипер	Магазин 3	Молочные продукты	Молочные продукты 100	8	22	0,88178	0,64641	2	0,06545
Гипер	Магазин 3	Молочные продукты	Молочные продукты 100	9	48	1,87954	1,35267	2	0,06545
Гипер	Магазин 3	Молочные продукты	Молочные продукты 101	7	15	0,57786	0,42549	4	0,09821
Гипер	Магазин 3	Молочные продукты	Молочные продукты 101	8	22	0,83981	0,5892	3	0,09818
Гипер	Магазин 3	Молочные продукты	Молочные продукты 101	9	19	0,7468	0,54515	5	0,15184
Гипер	Магазин 3	Молочные продукты	Молочные продукты 102	7	37	1,39463	0,93026	8	0,2618
Гипер	Магазин 3	Молочные продукты	Молочные продукты 102	8	32	1,26568	0,94914	0	0
Гипер	Магазин 3	Молочные продукты	Молочные продукты 102	9	38	1,49262	1,05489	7	0,22317
Гипер	Магазин 3	Молочные продукты	Молочные продукты 103	7	25	0,97077	0,70239	7	0,22908
